PlaylistName,PlaylistModifiedDate,TrackName,ArtistName,AlbumName,DateAdded
Actually RnB,2023-02-17,Under The Influence,Chris Brown,Indigo (Extended),2022-08-13
Actually RnB,2023-02-17,Proof,Chris Brown,Royalty (Deluxe Version),2022-08-13
Actually RnB,2023-02-17,Blow It In The Wind,Chris Brown,Royalty (Deluxe Version),2022-08-13
Actually RnB,2023-02-17,KAE,Chris Brown,Royalty (Deluxe Version),2022-08-13
Actually RnB,2023-02-17,U Did It (feat. Future),Chris Brown,Royalty (Deluxe Version),2022-08-13
Actually RnB,2023-02-17,Time For Love,Chris Brown,X (Expanded Edition),2022-08-13
Actually RnB,2023-02-17,Do Better (feat. Brandy),Chris Brown,X (Expanded Edition),2022-08-13
Actually RnB,2023-02-17,Boo'd Up,Ella Mai,READY,2022-08-13
Actually RnB,2023-02-17,Trip,Ella Mai,Trip,2022-08-13
Actually RnB,2023-02-17,Immature,FLO,The Lead,2022-08-13
Actually RnB,2023-02-17,Summertime,FLO,The Lead,2022-08-13
Actually RnB,2023-02-17,Feature Me,FLO,The Lead,2022-08-13
Actually RnB,2023-02-17,Keep You in Mind - Remix,Guordan Banks,Keep You in Mind,2022-08-13
Actually RnB,2023-02-17,Girl Like Me (feat. H.E.R.),Jazmine Sullivan,Heaux Tales,2022-08-13
Actually RnB,2023-02-17,Into You,Josh Daniel,Into You,2022-08-13
Actually RnB,2023-02-17,Strawberry Bubblegum,Justin Timberlake,The 20/20 Experience (Deluxe Version),2022-08-13
Actually RnB,2023-02-17,Pusher Love Girl,Justin Timberlake,The 20/20 Experience (Deluxe Version),2022-08-13
Actually RnB,2023-02-17,What Goes Around.../...Comes Around (Interlude),Justin Timberlake,FutureSex/LoveSounds,2022-08-13
Actually RnB,2023-02-17,Cry Me a River,Justin Timberlake,Justified,2022-08-13
Actually RnB,2023-02-17,Motivation,Kelly Rowland,Here I Am,2022-08-13
Actually RnB,2023-02-17,One Night Stand,Keri Hilson,No Boys Allowed,2022-08-13
Actually RnB,2023-02-17,Get Back (feat. Chris Brown),Mario,Get Back (feat. Chris Brown),2022-08-14
Actually RnB,2023-02-17,Adorn,Miguel,Kaleidoscope Dream (Deluxe Version),2022-08-14
Actually RnB,2023-02-17,Rehab,Rihanna,Good Girl Gone Bad: Reloaded,2022-08-14
Actually RnB,2023-02-17,Guilty,Sevyn Streeter,Guilty,2022-08-14
Actually RnB,2023-02-17,Whoa,Snoh Aalegra,"- Ugh, those feels again",2022-08-14
Actually RnB,2023-02-17,Playing Games (with Bryson Tiller) - Extended Version,Summer Walker,Over It,2022-08-14
Actually RnB,2023-02-17,Come Thru (with Usher),Summer Walker,Over It,2022-08-14
Actually RnB,2023-02-17,Cut Ties,Tiana Blake,Cut Ties,2022-08-14
Actually RnB,2023-02-17,Do I Ever (feat. Chris Brown),Tone Stith,Still FWM,2022-08-14
Actually RnB,2023-02-17,Classic You (feat. Chris Brown),T-Pain,Oblivion,2022-08-14
Actually RnB,2023-02-17,Textin' My Ex (feat. Tiffany Evans),T-Pain,Oblivion,2022-08-14
Actually RnB,2023-02-17,SmartPhones,Trey Songz,Trigga Reloaded,2022-08-14
Actually RnB,2023-02-17,Try Me,The Weeknd,"My Dear Melancholy,",2022-08-14
Actually RnB,2023-02-17,Attention,The Weeknd,Starboy,2022-08-14
Actually RnB,2023-02-17,"Love in This Club, Pt. II (feat. Beyoncé & Lil' Wayne)",Usher,Here I Stand,2022-08-14
Actually RnB,2023-02-17,Sailor Moon,LAYA,Sailor Moon,2022-08-14
Actually RnB,2023-02-17,Need You Right Here (feat. Bryson Tiller),Chris Brown,Breezy,2022-08-15
Actually RnB,2023-02-17,Ain't Thinkin' 'Bout You,Bow Wow,Aint Thinkin' Bout You,2022-08-15
Actually RnB,2023-02-17,Beg For It,Chris Brown,F.A.M.E. (Expanded Edition),2022-08-15
Actually RnB,2023-02-17,Ya Man Ain't Me,Chris Brown,Chris Brown (Expanded Edition),2022-09-07
Actually RnB,2023-02-17,Not My Job,FLO,The Lead,2022-09-22
Actually RnB,2023-02-17,In The City,Chris Brown,Breezy (Deluxe),2023-01-16
Actually RnB,2023-02-17,Paradise,Chris Brown,Heartbreak on a Full Moon,2023-01-23
Actually RnB,2023-02-17,Until The End Of Time (with Beyoncé),Justin Timberlake,FutureSex/LoveSounds Deluxe Edition,2023-02-17
5x5,2022-11-07,Drip Too Hard,Lil Baby,Drip Too Hard,2020-10-19
5x5,2022-11-07,6ix 9ine (feat. K-Trap),DigDat,Ei8ht Mile,2020-10-19
5x5,2022-11-07,In Her Mouth,Future,EVOL,2020-10-19
5x5,2022-11-07,Welcome 2 Hell,Bad Meets Evil,Hell: The Sequel,2020-10-19
5x5,2022-11-07,Not Alike (feat. Royce Da 5'9),Eminem,Kamikaze,2020-10-19
5x5,2022-11-07,Lucky You (feat. Joyner Lucas),Eminem,Kamikaze,2020-10-19
5x5,2022-11-07,Bando Diaries,dutchavelli,Bando Diaries,2020-10-19
5x5,2022-11-07,AVEN9ERS (feat. KO & V9),Unknown T,Rise Above Hate,2020-10-19
5x5,2022-11-07,"808 (feat. dutchavelli, DigDat & B Young)",Da Beatfreakz,"808 (feat. dutchavelli, DigDat & B Young)",2020-10-19
5x5,2022-11-07,Run Out Riddim,Chip,Light Work,2020-10-19
5x5,2022-11-07,King of Grime,Skepta,"This Is Uk Grime, Vol. 1",2020-10-19
5x5,2022-11-07,Class of Deja (feat. D Double E & Ghetts),Kano,Class of Deja (feat. D Double E & Ghetts),2020-10-19
5x5,2022-11-07,Medicine Man,Dr. Dre,Compton,2020-10-19
5x5,2022-11-07,I Dunno (feat. Dutchavelli & Stormzy),Tion Wayne,I Dunno (feat. Dutchavelli & Stormzy),2020-10-19
5x5,2022-11-07,Packages,AJ Tracey,Packages,2020-10-19
5x5,2022-11-07,Escos Spirit,Ghetts,Momentum 2,2020-10-19
5x5,2022-11-07,Surely,dutchavelli,Surely,2020-10-19
